カプチーノ Tall,77,490, +エスプレッソショット(￥55) +リストレットショット +ディカフェに変更(￥55) , +低脂肪タイプミルクに変更 +ノンファットミルクに変更 +豆乳*に変更(￥55) +アーモンドミルク*に変更(￥55) +オーツミルク*に変更(￥55) , +キャラメルフレーバーシロップ(￥55) +フォームミルク多め+ハチミツ+ブラウンシュガー +チョコレートソース+シナモンパウダー +ホワイトモカフレーバーシロップ(￥55)+チョコレートソース
カプチーノ Grande,77,535, +エスプレッソショット(￥55) +リストレットショット +ディカフェに変更(￥55) , +低脂肪タイプミルクに変更 +ノンファットミルクに変更 +豆乳*に変更(￥55) +アーモンドミルク*に変更(￥55) +オーツミルク*に変更(￥55) , +キャラメルフレーバーシロップ(￥55) +フォームミルク多め+ハチミツ+ブラウンシュガー +チョコレートソース+シナモンパウダー +ホワイトモカフレーバーシロップ(￥55)+チョコレートソース
カプチーノ Venti,114,580, +エスプレッソショット(￥55) +リストレットショット +ディカフェに変更(￥55) , +低脂肪タイプミルクに変更 +ノンファットミルクに変更 +豆乳*に変更(￥55) +アーモンドミルク*に変更(￥55) +オーツミルク*に変更(￥55) , +キャラメルフレーバーシロップ(￥55) +フォームミルク多め+ハチミツ+ブラウンシュガー +チョコレートソース+シナモンパウダー +ホワイトモカフレーバーシロップ(￥55)+チョコレートソース
カフェ モカ Short,271,490, +エスプレッソショット(￥55) +リストレットショット +ディカフェに変更(￥55) , +低脂肪タイプミルクに変更 +ノンファットミルクに変更 +豆乳*に変更(￥55) +アーモンドミルク*に変更(￥55) +オーツミルク*に変更(￥55) , +チョコレートソース+ココアパウダー +キャラメルソース+キャラメルフレーバーシロップ(￥55)
カフェ モカ Tall,271,530, +エスプレッソショット(￥55) +リストレットショット +ディカフェに変更(￥55) , +低脂肪タイプミルクに変更 +ノンファットミルクに変更 +豆乳*に変更(￥55) +アーモンドミルク*に変更(￥55) +オーツミルク*に変更(￥55) , +チョコレートソース+ココアパウダー +キャラメルソース+キャラメルフレーバーシロップ(￥55)
カフェ モカ Grande,271,575, +エスプレッソショット(￥55) +リストレットショット +ディカフェに変更(￥55) , +低脂肪タイプミルクに変更 +ノンファットミルクに変更 +豆乳*に変更(￥55) +アーモンドミルク*に変更(￥55) +オーツミルク*に変更(￥55) , +チョコレートソース+ココアパウダー +キャラメルソース+キャラメルフレーバーシロップ(￥55)
カフェ モカ Venti,399,620, +エスプレッソショット(￥55) +リストレットショット +ディカフェに変更(￥55) , +低脂肪タイプミルクに変更 +ノンファットミルクに変更 +豆乳*に変更(￥55) +アーモンドミルク*に変更(￥55) +オーツミルク*に変更(￥55) , +チョコレートソース+ココアパウダー +キャラメルソース+キャラメルフレーバーシロップ(￥55)
ホワイト モカ Short,272,490, +エスプレッソショット(￥55) +リストレットショット +ディカフェに変更(￥55) , +低脂肪タイプミルクに変更 +ノンファットミルクに変更 +豆乳*に変更(￥55) +アーモンドミルク*に変更(￥55) +オーツミルク*に変更(￥55) , +キャラメルソース +チョコレートソース
ホワイト モカ Tall,272,530, +エスプレッソショット(￥55) +リストレットショット +ディカフェに変更(￥55) , +低脂肪タイプミルクに変更 +ノンファットミルクに変更 +豆乳*に変更(￥55) +アーモンドミルク*に変更(￥55) +オーツミルク*に変更(￥55) , +キャラメルソース +チョコレートソース
ホワイト モカ Grande,272,575, +エスプレッソショット(￥55) +リストレットショット +ディカフェに変更(￥55) , +低脂肪タイプミルクに変更 +ノンファットミルクに変更 +豆乳*に変更(￥55) +アーモンドミルク*に変更(￥55) +オーツミルク*に変更(￥55) , +キャラメルソース +チョコレートソース
